name,latitude,longitude,dpcapacity
Clinton St & Lake St,41.88583274,-87.64138231,19
Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15
Clinton St & Tilden St,41.875885,-87.640795,23
Damen Ave & Pierce Ave,41.90939601,-87.67769193,19
Morgan St & Lake St,41.88548331,-87.65230486,15
State St & 16th St,41.86012138,-87.62772919,15
Jefferson St & Monroe St,41.880422,-87.642746,19
Kingsbury St & Erie St,41.89384315,-87.64185116,23
Canal St & Jackson Blvd,41.87811421,-87.63997112,35
Lake Shore Dr & Monroe St,41.88105,-87.61697,11
Clinton St & Madison St,41.8815824,-87.64127743,23
Aberdeen St & Madison St,41.881487,-87.654752,19
Daley Center Plaza,41.884337,-87.630183,47
Green St & Milwaukee Ave,41.891733,-87.648727,19
Michigan Ave & Oak St,41.90096039,-87.62377664,15
Eckhart Park,41.89637337,-87.66098386,15
Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19
May St & Randolph St,41.88397,-87.655688,15
Millennium Park,41.8810317,-87.62408432,35
Clinton St & Washington Blvd,41.88338,-87.64117,31
Carpenter St & Huron St,41.894556,-87.653449,19
Sheffield Ave & Willow St,41.913688,-87.652855,15
Lincoln Ave & Armitage Ave,41.918273,-87.638116,19
Museum Campus,41.865212,-87.617759,19
LaSalle St & Washington St,41.882664,-87.63253,15
Lake Shore Dr & Ohio St,41.89257,-87.614492,19
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23
State St & Pearson St,41.897448,-87.628722,27
Halsted St & Polk St,41.87184,-87.64664,19
900 W Harrison,41.8745,-87.6498,19
State St & Erie St,41.893975,-87.628623,23
Sedgwick St & Huron St,41.894666,-87.638437,19
Green St & Randolph St,41.884078,-87.648684,15
Bissell St & Armitage Ave,41.91844,-87.65222,15
Sheffield Ave & Addison St,41.94688,-87.65445,27
Sheffield Ave & Wellington Ave,41.936253,-87.653566,23
Western Ave & Winnebago Ave,41.915533,-87.687051,15
Wilton Ave & Belmont Ave,41.94018,-87.65304,23
Sedgwick St & North Ave,41.910579,-87.638618,19
Ashland Ave & Lake St,41.88541,-87.66732,19
Wentworth Ave & Archer Ave,41.854564,-87.631937,15
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15
Congress Pkwy & Ogden Ave,41.87501,-87.67328,15
California Ave & Milwaukee Ave,41.922695,-87.697153,15
Damen Ave & Cullerton St,41.855048,-87.675726,15
Clark St & North Ave,41.911791,-87.631841,15
Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15
Damen Ave & Chicago Ave,41.895769,-87.67722,15
Blue Island Ave & 18th St,41.857556,-87.661535,15
Damen Ave & Division St,41.90331,-87.67695,15
Lincoln Ave & Belmont Ave,41.939365,-87.668385,15
Wentworth Ave & 24th St,41.849237,-87.631715,15
Peoria St & Jackson Blvd,41.877749,-87.649633,19
Halsted St & 21st St,41.85378,-87.64665,11
Racine Ave & 13th St,41.865054,-87.656959,15
Morgan Ave & 14th Pl,41.862378,-87.651062,15
Clybourn Ave & Division St,41.904509,-87.6405,15
Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19
Clark St & Lincoln Ave,41.915689,-87.6346,19
Sedgwick St & Webster Ave,41.92197,-87.63854,15
Larrabee St & Webster Ave,41.92175,-87.64401,15
Loomis St & Jackson Blvd,41.877945,-87.662007,11
Indiana Ave & 26th St,41.8457,-87.62248,15
State St & 33rd St,41.834734,-87.625813,11
Calumet Ave & 33rd St,41.8349,-87.61793,11
Fort Dearborn Dr & 31st St,41.838556,-87.608218,11
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15
Southport Ave & Wellington Ave,41.93584,-87.6637,19
Southport Ave & Belmont Ave,41.93949,-87.66378,15
Clark St & Wellington Ave,41.93649682,-87.64753866,15
Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15
Claremont Ave & Hirsch St,41.907781,-87.685854,11
Campbell Ave & North Ave,41.910535,-87.689556,15
Damen Ave & Wellington Ave,41.93588,-87.67842,15
Paulina St & Diversey Pkwy,41.93186,-87.67079,15
Franklin St & Lake St,41.885837,-87.6355,23
Clark St & Waveland Ave,41.94893,-87.65775,19
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15
Damen Ave & Coulter St,41.8492,-87.67564,11
Michigan Ave & 14th St,41.864059,-87.623727,19
Canal St & Harrison St,41.874337,-87.639566,15
Clinton St & 18th St,41.85795,-87.640826,15
May St & Cullerton St,41.855136,-87.654127,11
Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,15
Canal St & Madison St,41.882091,-87.639833,23
Wells St & Polk St,41.872373,-87.633523,19
Clark St & Elm St,41.903233,-87.631253,19
Theater on the Lake,41.926277,-87.630834,15
State St & 19th St,41.856594,-87.627542,15
Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15
LaSalle St & Illinois St,41.890749,-87.63206,19
Damen Ave & Augusta Blvd,41.899714,-87.677234,15
State St & 35th St,41.83104,-87.62688,19
Stave St & Armitage Ave,41.917741,-87.691392,11
Ogden Ave & Race Ave,41.891795,-87.658751,15
Greenview Ave & Fullerton Ave,41.92533,-87.6658,15
Southport Ave & Wrightwood Ave,41.92888,-87.66317,15
Canal St & Monroe St,41.8807,-87.63947,23
Canal St & Adams St,41.87923,-87.640015,27
State St & 29th St,41.841707,-87.626938,15
State St & Wacker Dr,41.887155,-87.62775,11
Columbus Dr & Randolph St,41.8853,-87.62077,23
Cityfront Plaza & N Water St,41.889875,-87.621994,19
Michigan Ave & Madison St,41.882134,-87.625125,19
Halsted St & Madison St,41.88175,-87.6478,19
Wabash Ave & Grand Ave,41.891738,-87.626937,15
King Dr & 47th St,41.809851,-87.616279,11
Indiana Ave & 40th St,41.82168,-87.6216,15
Halsted St & 18th St,41.857499,-87.646277,15
Western Ave & 21st St,41.85394,-87.685243,15
Prairie Ave & Garfield Blvd,41.7951,-87.61936,15
Paulina St & 18th St,41.857901,-87.668745,15
Halsted St & Archer Ave,41.847203,-87.646795,15
Emerald Ave & 28th St,41.84358,-87.645368,15
Ashland Ave & 21st St,41.85381,-87.665897,15
Normal Ave & Archer Ave,41.849527,-87.640591,11
Ashland Ave & Division St,41.903456,-87.66777,19
St Clair St & Erie St,41.894448,-87.622663,19
Wells St & Ohio St,41.892238,-87.633985,19
Leavitt St & North Ave,41.910652,-87.6824,11
Damen Ave & Grand Ave,41.89122,-87.67686,15
Damen Ave & Madison St,41.88137,-87.67493,15
California Ave & Division St,41.903029,-87.697474,15
May St & Fulton St,41.886773,-87.656001,15
Wells St & 19th St,41.856802,-87.633879,11
Damen Ave & Cortland Ave,41.916027,-87.677411,11
Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19
Milwaukee Ave & Rockwell St,41.920195,-87.693033,19
Clifton Ave & Armitage Ave,41.918216,-87.656936,15
Halsted St & Willow St,41.913778,-87.64884,19
Halsted St & Dickens Ave,41.919936,-87.64883,15
Racine Ave & Belmont Ave,41.939743,-87.658865,15
Southport Ave & Waveland Ave,41.94815,-87.66394,15
Damen Ave & Melrose Ave,41.9406,-87.6785,11
Southport Ave & Roscoe St,41.943739,-87.66402,19
Lincoln Ave & Roscoe St,41.94334,-87.67097,19
Sheridan Rd & Montrose Ave,41.96167,-87.65464,15
Pine Grove Ave & Addison St,41.947836,-87.645416,15
Sangamon St & Washington Blvd,41.883004,-87.651148,15
Clark St & Montrose Ave,41.961588,-87.666036,19
Sedgwick St & Schiller St,41.907576,-87.638517,15
Martin Luther King Dr & 29th St,41.842052,-87.617,15
Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15
Western Ave & Leland Ave,41.966555,-87.688487,15
Sheridan Rd & Irving Park Rd,41.95434,-87.654601,11
Morgan St & Polk St,41.871737,-87.65103,15
Damen Ave & Leland Ave,41.967094,-87.679028,15
Lincoln Ave & Leavitt St,41.962391,-87.684146,15
Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19
Clarendon Ave & Junior Ter,41.961004,-87.649603,15
Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11
Shore Drive & 55th St,41.795212,-87.580715,15
Woodlawn Ave & 55th St,41.795264,-87.596471,15
Montrose Harbor,41.963982,-87.638181,15
Ashland Ave & Wellington Ave,41.936083,-87.669807,19
Clarendon Ave & Leland Ave,41.967968,-87.650001,15
Greenwood Ave & 47th St,41.809835,-87.599383,15
Clifton Ave & Lawrence Ave,41.968873,-87.658857,15
Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15
Indiana Ave & Roosevelt Rd,41.867888,-87.623041,19
Broadway & Sheridan Rd,41.952833,-87.649993,15
Lincoln Ave & Waveland Ave,41.94911,-87.675112,15
Logan Blvd & Elston Ave,41.930584,-87.685126,19
California Ave & Francis Pl,41.91855,-87.69723,15
Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19
Hermitage Ave & Polk St,41.871514,-87.669886,15
Halsted St & 37th St,41.827071,-87.645801,11
Rhodes Ave & 32nd St,41.836208,-87.613533,11
Stetson Ave & South Water St,41.886861,-87.622694,19
Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15
Lake Park Ave & 47th St,41.809443,-87.591875,15
Lake Shore Dr & North Blvd,41.911722,-87.626804,15
Cottage Grove Ave & 43rd St,41.816499,-87.606582,11
Indiana Ave & 31st St,41.838842,-87.621857,11
Michigan Ave & 18th St,41.857937,-87.623633,15
Racine Ave & 15th St,41.861267,-87.656625,15
Ashland Ave & 13th St,41.865234,-87.666507,15
California Ave & North Ave,41.91044,-87.6972,11
Ashland Ave & Grand Ave,41.891072,-87.666611,15
Wallace Ave & 35th St,41.830629,-87.64129,15
Halsted St & 35th St,41.830661,-87.647172,15
Morgan St & 31st St,41.8378,-87.65114,11
Western Ave & 24th St,41.84847,-87.685109,15
Halsted St & Maxwell St,41.86458,-87.64693,15
LaSalle St & Jackson Blvd,41.87817,-87.631985,23
Michigan Ave & Jackson Blvd,41.87785,-87.62408,23
Wood St & Grand Ave,41.89113,-87.67203,15
Franklin St & Quincy St,41.878724,-87.634793,15
Franklin St & Arcade Pl,41.881131,-87.635185,23
Larrabee St & Armitage Ave,41.91797,-87.64368,11
Wells St & Concord Ln,41.912202,-87.634664,19
Kedzie Ave & Palmer Ct,41.921525,-87.707322,15
Wells St & Evergreen Ave,41.906724,-87.63483,19
Southport Ave & Clark St,41.957081,-87.664199,11
Broadway & Wilson Ave,41.965287,-87.658774,19
Broadway & Berwyn Ave,41.978353,-87.659753,15
Broadway & Argyle St,41.972972,-87.659637,15
Broadway & Belmont Ave,41.940106,-87.645451,15
Paulina St & Montrose Ave,41.961507,-87.671387,15
Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15
Halsted St & Roscoe St,41.943662,-87.648917,15
Broadway & Barry Ave,41.937739,-87.644094,15
Clark St & Schiller St,41.907993,-87.631501,19
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,19
Broadway & Cornelia Ave,41.945512,-87.64598,15
Halsted St & Waveland Ave,41.949333,-87.649634,15
Western Ave & Division St,41.902893,-87.687275,15
Sheridan Rd & Buena Ave,41.9584,-87.65423,15
Southport Ave & Clybourn Ave,41.921004,-87.663257,15
Seeley Ave & Roscoe St,41.943403,-87.679618,11
Leavitt St & Armitage Ave,41.917805,-87.682437,11
Damen Ave & Charleston St,41.920082,-87.677855,11
Lincoln Ave & Eastwood Ave,41.96583,-87.68651,15
Clarendon Ave & Gordon Ter,41.957879,-87.649519,15
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19
Ravenswood Ave & Berteau Ave,41.957921,-87.673567,15
Leavitt St & Hirsch St,41.906717,-87.682779,11
Damen Ave & Sunnyside Ave,41.96325,-87.679258,19
Wood St & Taylor St,41.869154,-87.671045,15
Southport Ave & Irving Park Rd,41.954177,-87.664358,15
Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15
Loomis St & Lexington St,41.872187,-87.661501,15
Wabash Ave & 8th St,41.871962,-87.626106,19
Kimbark Ave & 53rd St,41.799568,-87.594747,15
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,15
Stockton Dr & Wrightwood Ave,41.93132,-87.638742,15
Clark St & Winnemac Ave,41.973385,-87.668365,15
Clark St & Leland Ave,41.967096,-87.667429,11
Sheffield Ave & Webster Ave,41.921687,-87.653714,19
Ellis Ave & 58th St,41.788746,-87.601334,15
Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625,15
Lincoln Ave & Addison St,41.946176,-87.673308,19
Halsted St & Blackhawk St,41.90854,-87.648568,19
Halsted St & Diversey Pkwy,41.933341,-87.648747,15
Ashland Ave & Blackhawk St,41.907066,-87.667252,15
Lake Shore Dr & Belmont Ave,41.940775,-87.639192,19
Calumet Ave & 35th St,41.831379,-87.618034,15
Cottage Grove Ave & 47th St,41.809855,-87.606755,15
Clark St & Chicago Ave,41.896544,-87.630931,19
Calumet Ave & 18th St,41.857611,-87.619407,15
Emerald Ave & 31st St,41.838198,-87.645143,11
Clark St & Wrightwood Ave,41.929546,-87.643118,15
Adler Planetarium,41.866095,-87.607267,19
Wolcott Ave & Polk St,41.871262,-87.673688,15
Racine Ave & Wrightwood Ave,41.928887,-87.658971,15
Wolcott Ave & Lawrence Ave,41.968641,-87.676335,15
Lake Park Ave & 56th St,41.793242,-87.587782,15
Ada St & Washington Blvd,41.88283,-87.661206,15
Ashland Ave & Grace St,41.950687,-87.6687,15
California Ave & 21st St,41.854016,-87.695445,15
Halsted St & Wrightwood Ave,41.929143,-87.649077,15
Ashland Ave & Chicago Ave,41.895966,-87.667747,15
Cottage Grove Ave & 51st St,41.803038,-87.606615,15
