CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-9-8,77,74,71,70,66,64,90,80,69,30.02,29.98,29.94,10,10,10,18,12,30,0.00,6,,69
2013-9-9,94,81,68,73,69,65,87,68,49,29.95,29.87,29.80,10,10,7,16,10,22,0.00,2,,193
2013-9-10,95,86,77,69,64,62,67,52,36,29.98,29.94,29.86,10,10,10,24,13,36,0.00,1,,238
2013-9-11,91,83,75,68,66,62,79,63,46,30.04,29.99,29.96,10,10,10,17,8,22,T,5,Rain,260
2013-9-12,82,72,62,67,59,50,87,60,33,30.08,29.98,29.93,10,10,10,25,9,30,T,4,Rain,340
2013-9-13,67,60,52,54,45,41,72,57,42,30.17,30.14,30.08,10,10,10,20,12,28,0.00,2,,7
2013-9-14,72,60,47,48,43,38,86,58,29,30.18,30.12,30.03,10,10,10,13,6,16,0.00,4,,218
2013-9-15,62,59,56,58,53,40,93,70,46,30.15,30.05,29.99,10,9,2,14,5,23,0.65,8,Rain,6
2013-9-16,64,58,51,56,49,45,89,73,56,30.36,30.30,30.17,10,10,10,18,11,30,0.00,5,,22
2013-9-17,71,60,49,56,50,45,89,71,52,30.34,30.25,30.11,10,10,10,14,8,22,0.00,6,,131
2013-9-18,81,71,60,68,61,51,84,69,54,30.11,30.00,29.91,10,8,1,22,9,29,0.55,7,Rain-Thunderstorm,184
2013-9-19,84,77,69,72,69,64,93,79,65,29.96,29.91,29.77,10,6,0,23,11,30,0.84,7,Fog-Rain-Thunderstorm,144
2013-9-20,76,67,58,66,61,51,93,77,60,29.82,29.80,29.74,10,10,10,21,11,26,T,7,Rain,256
2013-9-21,67,60,52,53,47,43,93,73,52,29.94,29.87,29.80,10,10,10,18,10,29,0.00,2,,327
2013-9-22,67,58,49,50,46,44,80,66,52,30.06,30.01,29.95,10,10,10,14,8,24,0.00,2,,33
2013-9-23,67,57,46,53,47,43,86,67,48,30.12,30.07,30.04,10,10,10,13,6,17,0.00,1,,95
2013-9-24,70,60,49,54,48,45,86,65,44,30.06,30.00,29.94,10,10,10,16,8,26,0.00,1,,98
2013-9-25,70,61,51,55,52,49,93,73,52,29.98,29.95,29.93,10,10,9,13,6,24,0.00,1,,40
2013-9-26,75,63,50,56,52,44,93,64,35,30.08,30.04,29.96,10,9,6,13,4,20,0.00,0,,67
2013-9-27,81,67,52,55,51,45,93,64,35,30.16,30.10,30.06,10,10,10,16,7,21,0.00,1,,134
2013-9-28,84,70,55,66,55,49,86,62,37,30.08,29.99,29.89,10,10,4,25,13,33,0.20,4,Rain,179
2013-9-29,68,60,51,64,52,42,100,70,39,30.05,30.00,29.92,10,9,2,20,8,31,0.18,3,Rain,347
2013-9-30,74,61,47,54,48,43,93,63,33,30.00,29.94,29.87,10,10,10,13,6,21,0.00,2,,186
2013-10-1,79,71,62,64,61,56,93,74,54,29.96,29.92,29.88,10,10,6,22,12,28,0.00,3,,217
2013-10-2,76,69,62,64,51,41,93,61,29,30.09,30.03,29.97,10,9,5,13,6,26,0.00,2,,64
2013-10-3,78,69,60,68,64,53,100,84,67,29.97,29.92,29.84,10,6,0,20,8,24,0.12,7,Fog-Rain-Thunderstorm,187
2013-10-4,74,70,65,67,65,63,93,86,79,29.98,29.95,29.91,10,10,7,13,6,21,T,7,Rain,146
2013-10-5,80,71,61,72,67,61,100,85,69,29.94,29.85,29.75,10,7,1,26,6,36,0.82,6,Rain-Thunderstorm,183
2013-10-6,64,55,45,63,47,39,89,70,51,29.78,29.75,29.69,10,10,9,20,10,24,0.09,7,Rain,249
2013-10-7,68,57,45,48,44,40,93,68,42,30.08,29.90,29.76,10,10,10,17,9,24,T,4,,276
2013-10-8,75,59,43,51,48,43,100,69,38,30.19,30.14,30.08,10,10,10,12,6,16,0.00,0,,183
2013-10-9,71,60,48,53,47,42,86,62,37,30.25,30.19,30.15,10,10,10,14,5,18,0.00,0,,127
2013-10-10,74,60,46,54,50,45,100,71,41,30.17,30.12,30.05,10,10,6,13,4,15,0.00,2,,140
2013-10-11,76,64,51,56,51,47,86,66,46,30.08,30.02,29.96,10,10,10,18,8,23,0.00,2,,146
2013-10-12,73,60,46,63,55,44,93,77,61,30.18,30.01,29.96,10,9,3,16,7,22,0.12,4,Rain,207
2013-10-13,64,54,44,44,41,34,86,60,34,30.40,30.33,30.21,10,10,10,16,7,23,0.00,0,,317
2013-10-14,62,52,42,48,43,41,89,70,51,30.40,30.31,30.14,10,10,10,17,8,25,0.00,3,,65
2013-10-15,64,57,49,61,53,43,100,83,66,30.12,29.89,29.77,10,8,2,18,11,28,0.07,7,Rain,187
2013-10-16,54,51,47,47,44,41,86,79,71,29.94,29.88,29.84,10,10,9,18,11,23,T,7,,251
2013-10-17,53,47,40,48,45,38,100,83,66,29.92,29.87,29.82,10,8,4,16,7,23,0.29,7,Rain,251
2013-10-18,50,45,39,43,39,37,92,79,66,29.97,29.91,29.83,10,10,9,20,9,25,0.00,6,,253
2013-10-19,54,48,42,39,37,32,83,64,45,29.92,29.84,29.78,10,10,10,22,10,30,0.00,7,Rain,244
2013-10-20,61,49,36,47,41,35,100,78,55,29.88,29.81,29.72,10,10,10,18,6,23,0.01,6,Rain,208
2013-10-21,55,44,33,46,33,24,80,61,42,29.98,29.89,29.78,10,10,10,22,12,29,T,6,,272
2013-10-22,42,36,29,36,29,24,92,72,51,29.99,29.96,29.92,10,10,10,14,6,16,T,5,Rain,259
2013-10-23,46,39,32,31,28,23,89,65,41,30.02,29.97,29.91,10,10,10,20,10,26,T,4,,300
2013-10-24,44,38,31,28,25,21,75,59,43,30.30,30.15,30.01,10,10,10,21,11,30,T,6,,299
2013-10-25,51,40,29,28,26,23,78,59,39,30.41,30.27,30.04,10,10,10,26,12,35,0.00,3,,248
2013-10-26,55,46,37,35,29,27,70,54,38,30.08,29.95,29.85,10,10,10,23,14,36,0.00,5,,277
2013-10-27,54,42,29,31,29,26,85,62,38,30.07,30.03,29.97,10,10,10,18,7,23,0.00,2,,231
2013-10-28,53,44,35,41,36,30,92,78,63,30.37,30.25,30.07,10,10,10,20,9,24,0.00,4,,32
2013-10-29,57,50,42,44,40,36,89,66,43,30.36,30.27,30.15,10,10,10,14,8,23,T,7,,103
2013-10-30,63,53,43,59,52,42,100,89,77,30.13,29.99,29.75,10,5,2,16,8,21,0.55,7,Rain,150
2013-10-31,64,55,46,63,58,43,100,92,83,29.74,29.42,29.22,10,8,2,25,12,33,1.04,8,Rain,224
2013-11-1,48,46,43,45,41,36,100,85,70,29.73,29.58,29.38,10,10,7,28,11,38,0.08,8,Rain,263
2013-11-2,48,43,38,43,39,36,96,81,66,30.14,29.93,29.74,10,8,5,14,8,17,0.01,7,Rain,308
2013-11-3,53,43,33,39,35,32,100,74,48,30.30,30.25,30.15,10,10,10,17,7,22,0.00,3,,165
2013-11-4,58,50,42,43,39,36,76,62,47,30.27,30.19,30.11,10,10,10,23,14,31,0.00,7,,174
2013-11-5,55,53,50,52,48,44,93,80,66,30.27,30.13,29.95,10,9,3,26,11,38,0.04,8,Rain,177
2013-11-6,57,46,35,56,46,26,93,79,64,30.17,29.91,29.77,10,8,3,24,14,30,0.60,7,Rain,245
2013-11-7,44,37,30,32,29,26,89,71,53,30.24,30.22,30.18,10,10,10,18,9,24,0.00,2,,267
2013-11-8,48,38,28,31,29,27,92,69,46,30.34,30.19,29.95,10,10,8,23,9,30,0.00,4,,211
2013-11-9,58,50,41,39,35,24,71,59,47,30.11,29.93,29.85,10,10,10,28,18,39,0.00,3,,255
2013-11-10,49,42,35,32,29,25,70,58,46,30.33,30.25,30.12,10,10,10,20,10,28,0.00,3,,261
2013-11-11,47,36,25,37,29,16,92,73,53,30.51,30.23,30.09,10,7,1,23,13,28,0.29,8,Rain-Snow,338
2013-11-12,33,28,22,19,16,14,74,62,49,30.71,30.64,30.53,10,10,10,20,11,25,0.00,1,,307
2013-11-13,40,30,20,21,17,13,77,56,35,30.59,30.39,30.17,10,10,10,24,14,35,0.00,2,,228
2013-11-14,49,41,32,27,23,20,56,48,39,30.15,30.02,29.93,10,10,10,23,15,30,0.00,4,,218
2013-11-15,50,44,38,36,31,27,79,63,46,29.99,29.96,29.93,10,10,10,20,10,23,0.01,4,,209
2013-11-16,61,52,42,56,49,36,96,83,70,29.93,29.75,29.57,10,7,2,30,17,37,0.40,8,Rain-Thunderstorm,181
2013-11-17,69,56,43,63,52,34,90,80,70,29.71,29.39,29.19,10,8,0,43,21,58,0.39,7,Rain-Thunderstorm,224
2013-11-18,43,37,30,35,28,23,79,66,53,30.26,30.00,29.73,10,10,10,26,15,36,0.00,3,,292
2013-11-19,42,34,25,30,26,21,92,73,53,30.38,30.33,30.27,10,10,10,13,6,17,0.00,2,,92
2013-11-20,45,37,28,38,30,25,92,71,49,30.30,30.21,30.12,10,10,7,20,10,26,0.15,6,Rain,157
2013-11-21,51,46,41,45,41,38,93,82,71,30.20,30.15,30.11,10,8,6,10,5,21,0.05,8,Rain,208
2013-11-22,43,35,27,40,30,21,92,78,64,30.47,30.38,30.21,10,9,5,20,9,25,0.04,6,Rain-Snow,336
2013-11-23,26,21,15,19,8,1,81,62,42,30.71,30.58,30.43,10,10,10,26,15,32,T,2,Snow,324
2013-11-24,27,19,11,8,4,1,70,52,33,30.73,30.59,30.38,10,10,10,21,10,26,0.00,1,,257
2013-11-25,31,27,22,27,21,8,92,71,50,30.35,30.14,30.06,10,8,0,22,13,31,0.03,8,Fog-Snow,229
2013-11-26,34,26,17,27,20,4,85,67,49,30.17,30.07,30.00,10,10,6,25,12,31,T,7,Snow,304
2013-11-27,29,21,13,12,9,4,70,56,42,30.27,30.22,30.16,10,10,10,23,11,28,0.00,4,,314
2013-11-28,34,27,19,16,13,10,74,60,45,30.51,30.30,30.19,10,10,10,18,9,23,0.00,5,,264
2013-11-29,36,26,15,21,17,12,84,66,47,30.64,30.54,30.41,10,10,10,12,5,17,0.00,5,,184
2013-11-30,50,40,29,30,26,21,75,59,42,30.39,30.17,30.06,10,10,10,16,8,22,0.00,2,,205
2013-12-1,42,36,29,34,30,28,92,77,62,30.11,30.06,29.99,10,9,5,12,6,23,0.00,6,,14
2013-12-2,44,37,29,36,31,27,92,73,53,29.97,29.85,29.75,10,7,2,16,7,21,0.07,7,Rain,109
2013-12-3,50,44,37,48,43,35,100,96,92,29.75,29.70,29.66,4,3,1,15,8,18,0.02,8,Rain,159
2013-12-4,56,48,39,54,48,36,100,91,82,29.73,29.62,29.50,10,5,1,29,12,36,0.02,8,,181
2013-12-5,39,30,21,36,20,11,92,75,57,30.26,29.99,29.66,10,10,10,25,14,32,0.00,8,,271
2013-12-6,21,17,13,10,7,2,74,65,56,30.56,30.40,30.25,10,10,10,17,10,22,0.00,6,,317
2013-12-7,21,15,8,4,2,0,73,59,45,30.71,30.64,30.57,10,10,10,13,7,20,0.00,2,,333
2013-12-8,26,21,15,25,17,1,92,73,53,30.59,30.20,29.92,10,5,1,20,9,23,0.24,8,Snow,100
2013-12-9,25,13,0,22,9,-7,88,75,61,30.25,30.10,29.94,10,8,4,25,15,32,T,6,Snow,262
2013-12-10,25,10,-6,10,3,-8,79,68,56,30.31,30.13,29.99,10,8,1,29,14,36,T,5,Snow,241
2013-12-11,21,11,1,13,7,-9,88,72,55,30.58,30.38,30.25,10,6,1,17,9,22,0.05,6,Snow,278
2013-12-12,19,8,-3,10,1,-10,79,66,53,30.55,30.37,30.22,10,10,10,20,11,29,0.00,5,,247
2013-12-13,32,23,13,27,18,10,88,75,62,30.21,30.15,30.09,10,9,4,15,6,20,0.01,7,Snow,99
2013-12-14,31,27,22,29,26,19,92,87,81,30.10,29.98,29.89,10,5,1,16,11,23,0.23,8,Snow,39
2013-12-15,23,17,10,18,7,1,88,75,61,30.14,30.03,29.92,10,10,7,24,12,29,T,7,Snow,277
2013-12-16,21,14,7,18,11,-4,91,72,53,30.17,30.06,30.00,10,7,0,15,6,19,0.05,8,Fog-Snow,254
2013-12-17,33,25,16,23,18,13,92,73,54,30.09,30.00,29.93,10,7,1,21,13,27,0.01,7,Snow,260
2013-12-18,35,25,15,25,15,9,80,60,39,30.16,30.00,29.83,10,10,10,25,13,33,0.00,4,,226
2013-12-19,39,36,33,32,30,25,89,77,64,29.93,29.87,29.79,10,6,1,18,7,24,0.06,7,Rain,25
2013-12-20,36,35,33,32,30,29,89,89,89,29.82,29.77,29.71,9,4,2,18,9,23,0.31,8,Rain,10
2013-12-21,35,33,30,34,30,27,100,91,82,29.85,29.78,29.63,10,3,0,23,9,34,0.24,8,Fog-Rain,2
2013-12-22,34,29,24,33,28,19,100,91,81,30.12,29.80,29.58,10,7,2,21,11,26,0.20,8,Rain-Snow,331
2013-12-23,26,13,-1,21,6,-10,88,77,65,30.47,30.32,30.12,10,9,5,21,13,27,T,5,Snow,265
2013-12-24,18,8,-2,9,-4,-10,72,63,53,30.58,30.49,30.36,10,8,1,15,9,20,0.01,6,Snow,245
2013-12-25,27,23,18,22,17,9,81,72,62,30.35,30.17,30.07,10,6,0,18,10,22,0.07,8,Snow,223
2013-12-26,34,24,14,26,16,8,74,69,63,30.30,30.20,30.07,10,10,7,23,10,28,T,7,Snow,242
2013-12-27,41,31,21,28,25,17,92,73,54,30.29,30.19,30.08,10,9,4,22,10,32,0.00,4,,230
2013-12-28,50,42,33,31,29,27,82,64,46,30.09,29.98,29.82,10,10,10,22,13,28,0.00,1,,221
2013-12-29,40,26,11,28,18,-1,85,71,56,30.20,29.93,29.53,10,9,2,21,12,28,0.01,8,Snow,329
2013-12-30,13,7,1,2,-2,-8,73,60,46,30.35,30.24,30.17,10,7,2,17,7,20,0.04,6,Snow,283
2013-12-31,12,7,2,6,2,-5,76,70,63,30.37,30.30,30.16,10,5,1,15,8,22,0.30,6,Snow,293
